Symbol,Company Name,Market Cap,Sector,Price,Change 1D,Volume,PE Ratio
GD,General Dynamics,53.99B,Industrials,193.37,-2.70%,"843,687",16.60
EMR,Emerson Electric,53.99B,Industrials,90.31,-4.16%,"2,759,609",23.64
TWLO,Twilio,53.86B,Information Technology,290.25,2.24%,"1,810,909",0.00
ING,ING Group,53.62B,Financials,13.76,-5.56%,"3,466,166",10.36
FTNT,Fortinet,53.53B,Information Technology,327.39,-1.76%,"646,650",98.55
CRWD,CrowdStrike,53.09B,Information Technology,232.64,0.81%,"2,147,244",0.00
SPG,Simon Property Group,52.74B,Real Estate,160.48,-5.06%,"2,875,077",25.98
DG,Dollar General,52.36B,Consumer Discretionary,224.42,0.44%,"997,977",21.52
EXC,Exelon,52.27B,Utilities,53.43,-1.98%,"3,000,970",31.25
PANW,Palo Alto Networks,52.27B,Information Technology,533.24,-3.00%,"673,893",0.00
SNPS,Synopsys,52.18B,Information Technology,342.16,-2.02%,"401,983",71.33
CM,Canadian Imperial Bank of Commerce,51.77B,Financials,114.67,-2.52%,"345,666",10.99
CVNA,Carvana,51.70B,Consumer Discretionary,291.11,0.31%,"816,821",0.00
IDXX,IDEXX Laboratories,51.51B,Health Care,607.52,-2.40%,"260,595",69.69
U,Unity Software,51.45B,Information Technology,179.89,-1.06%,"3,216,676",0.00
MSCI,MSCI Inc.,51.20B,Financials,621.04,-3.36%,"228,192",75.37
VMW,VMware,51.16B,Information Technology,121.90,2.70%,"2,274,968",25.03
EOG,EOG Resources,51.15B,Energy,87.42,-6.05%,"4,565,893",16.85
TEL,TE Connectivity,50.90B,Information Technology,156.00,-2.72%,"1,843,392",22.98
INFO,IHS Markit,50.86B,Industrials,127.32,-1.90%,"1,075,473",82.14
MET,MetLife,50.55B,Financials,60.10,-4.04%,"4,296,591",10.03
ROP,Roper Technologies,50.14B,Industrials,475.37,-1.96%,"280,072",45.11
IQV,IQVIA Holdings,50.06B,Health Care,262.06,-1.24%,"745,392",66.70
ALGN,Align Technology,50.01B,Health Care,634.22,-2.91%,"408,103",68.36
TTD,The Trade Desk,49.98B,Information Technology,103.98,-2.10%,"2,546,648",185.35
KDP,Keurig Dr Pepper,49.60B,Consumer Staples,34.98,-1.80%,"2,537,081",28.91
CDNS,Cadence Design Systems,49.43B,Information Technology,178.36,-2.79%,"1,121,743",71.92
DOCU,DocuSign,49.11B,Information Technology,249.63,2.53%,"1,691,349",0.00
APH,Amphenol,48.81B,Information Technology,81.62,-3.18%,"2,218,794",34.29
CNQ,Canadian Natural Resources,48.37B,Energy,40.96,-5.69%,"4,159,813",10.35
NGG,National Grid,48.27B,Utilities,66.73,0.14%,"193,795",21.46
HMC,Honda Motor Company,48.13B,Consumer Discretionary,27.98,-2.03%,"819,901",6.22
SPOT,Spotify Technology,48.06B,Communication Services,250.89,0.56%,"836,540",0.00
MAR,Marriott International,48.02B,Consumer Discretionary,147.44,-6.45%,"4,264,193",103.25
CARR,Carrier Global,47.99B,Industrials,55.38,-0.56%,"2,927,126",22.21
EPD,Enterprise Products Partners,47.99B,Energy,21.99,-1.12%,"7,227,189",12.29
CPNG,Coupang,47.97B,Consumer Cyclical,27.39,2.28%,"3,899,995",0.00
PUK,Prudential,47.77B,Financials,34.79,-8.71%,"423,238",0.00
CP,Canadian Pacific Railway,47.70B,Industrials,71.31,-4.53%,"3,589,846",19.21
TRP,TC Energy,47.57B,Energy,48.14,-1.11%,"1,203,257",32.01
CMG,Chipotle Mexican Grill,47.46B,Consumer Discretionary,"1,686.88",-1.23%,"141,565",67.73
ATVI,Activision Blizzard,47.22B,Communication Services,60.62,-0.48%,"8,303,542",17.98
ABEV,Ambev,47.15B,Consumer Staples,2.95,-2.64%,"17,162,977",16.21
BK,Bank of New York Mellon,47.09B,Financials,56.75,-3.68%,"3,299,881",14.46
DLR,Digital Realty Trust,46.76B,Real Estate,164.76,-0.87%,"1,043,856",69.49
E,Eni SpA,46.76B,Energy,26.29,-5.57%,"405,517",28.76
ZS,Zscaler,46.74B,Information Technology,336.90,-1.63%,"832,905",0.00
VRTX,Vertex Pharmaceuticals,46.68B,Health Care,183.59,-1.42%,"1,126,596",22.02
AIG,American International Group,46.54B,Financials,56.05,-3.18%,"3,963,709",8.79
BCE,"BCE, Inc.",46.27B,Communication Services,50.57,-1.60%,"834,455",19.36
TT,Trane Technologies,46.14B,Industrials,194.25,-0.63%,"1,186,486",34.92
MNST,Monster Beverage,46.06B,Consumer Staples,87.05,-2.29%,"1,256,968",30.44
A,Agilent Technologies,46.04B,Health Care,152.07,-0.59%,"1,631,657",47.40
XPEV,XPeng,45.91B,Consumer Discretionary,51.11,-6.00%,"11,319,568",0.00
SMFG,Sumitomo Mitsui Financial Group,45.79B,Financials,6.63,-1.78%,"1,557,852",5.98
WIT,Wipro,45.78B,Information Technology,8.38,-4.01%,"1,925,723",28.60
KMB,Kimberly-Clark,45.55B,Consumer Staples,135.27,0.03%,"1,184,093",23.00
TROW,T. Rowe Price Group,45.54B,Financials,202.64,-2.44%,"862,750",15.27
EBAY,eBay Inc.,45.37B,Consumer Discretionary,72.47,-0.26%,"4,121,578",3.96
BSBR,Banco Santander Brasil,45.03B,Financials,6.03,-2.58%,"653,481",7.93
SCCO,Southern Copper,44.61B,Materials,57.71,-2.68%,"704,085",14.15
NEM,Newmont Corporation,44.61B,Materials,55.94,0.85%,"4,257,240",22.05
MCHP,Microchip Technology,44.43B,Information Technology,80.07,-4.58%,"3,153,919",70.05
VEEV,Veeva Systems,44.43B,Health Care,289.58,-0.49%,"398,997",110.53
